Name,Year,Club,Goals,Assists,Shots,Minutes Played,Country,Club Position
Martín Demichelis,15/16,manchester-city,1,0.0,1.0,247,Argentina,LCB
Stefan Kießling,15/16,bayer-04-leverkusen,0,0.0,2.0,118,Germany,Sub
Bastian Schweinsteiger,15/16,manchester-united,0,0.0,5.0,423,Germany,LCM
Per Mertesacker,15/16,arsenal,0,0.0,2.0,483,Germany,Sub
Diego Benaglio,15/16,as-monaco,0,0.0,0.0,720,Switzerland,GK
Cesc Fàbregas,15/16,chelsea,1,1.0,8.0,604,Spain,Sub
Mathieu Flamini,15/16,arsenal,0,0.0,1.0,233,France,Sub
Gaël Clichy,15/16,manchester-city,0,0.0,0.0,710,France,LB
Steed Malbranque,15/16,olympique-lyonnais,0,0.0,0.0,73,France,Sub
Xabi Alonso,15/16,bayern-munchen,1,0.0,10.0,655,Spain,Sub
Cristiano Ronaldo,15/16,juventus,16,4.0,66.0,1109,Portugal,LW
Wayne Rooney,15/16,manchester-united,1,0.0,6.0,360,England,Sub
Michael Carrick,15/16,manchester-united,0,0.0,1.0,111,England,CDM
Bacary Sagna,15/16,manchester-city,0,0.0,1.0,910,France,RB
Petr Čech,15/16,arsenal,0,0.0,0.0,450,Czech Republic,GK
John Terry,15/16,chelsea,0,0.0,0.0,342,England,Sub
Tiago,15/16,atletico-madrid,0,0.0,5.0,390,Portugal,Sub
Lukas Podolski,15/16,galatasaray,2,0.0,10.0,499,Germany,ST
Francesco Totti,15/16,roma,0,0.0,0.0,19,Italy,Sub
Daniele De Rossi,15/16,roma,2,0.0,4.0,463,Italy,RCM
Wesley Sneijder,15/16,galatasaray,0,1.0,14.0,540,Netherlands,CAM
Thomas Vermaelen,15/16,barcelona,0,0.0,0.0,270,Belgium,Sub
Júlio César,15/16,sl-benfica,0,0.0,0.0,630,Brazil,Sub
Giorgio Chiellini,15/16,juventus,0,0.0,2.0,540,Italy,LCB
Marco Andreolli,15/16,sevilla,0,0.0,0.0,180,Italy,Sub
Esteban Cambiasso,15/16,olympiacos,0,0.0,0.0,246,Argentina,LCM
Gianluigi Buffon,15/16,juventus,0,0.0,0.0,750,Italy,GK
Zlatan Ibrahimović,15/16,manchester-united,5,3.0,34.0,879,Sweden,ST
Roberto Hilbert,15/16,bayer-04-leverkusen,0,0.0,0.0,194,Germany,Res
